title,link,image,subtitle,pubDate,director,actor,userRating
엄마도 꿈이 있단다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218842,https://ssl.pstatic.net/imgmovie/mdi/mit110/2188/218842_P01_181109.jpg,She Has <b>a</b> Dream,2022,장준영|,,0
나는 코미디언이다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220972,https://ssl.pstatic.net/imgmovie/mdi/mit110/2209/220972_P01_160954.jpg,I am <b>a</b> Comedian,2022,후미아리 휴가|,,0
엄마는 권투선수,https://movie.naver.com/movie/bi/mi/basic.nhn?code=223398,https://ssl.pstatic.net/imgmovie/mdi/mit110/2233/223398_P01_172008.png,MOM IS <b>A</b> BOXER,2022,홍두표|,문주하|최민성|,0
불 속의 연인: 카티아와 모리스 크래프트를 위한 진혼곡,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220984,https://ssl.pstatic.net/imgmovie/mdi/mit110/2209/220984_P01_174307.jpg,The Fire Within: <b>A</b> Requiem for Katia and Maurice Krafft,2022,베르너 헤어조크|,,0
일장춘몽,https://movie.naver.com/movie/bi/mi/basic.nhn?code=222721,https://ssl.pstatic.net/imgmovie/mdi/mit110/2227/222721_P01_192105.jpg,Life is But <b>a</b> Dream,2022,박찬욱|,유해진|김옥빈|박정민|,0
거대한 균열: 항손둥 동굴 이야기,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220074,https://ssl.pstatic.net/imgmovie/mdi/mit110/2200/220074_P01_102911.jpg,<b>A</b> Crack in the Mountain,2022,엘라스터 에반스|,,0
온기 한 모금,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218194,https://ssl.pstatic.net/imgmovie/mdi/mit110/2181/218194_P04_165241.jpg,<b>A</b> sip of warmth,2022,유호재|,신소영|남궁선|김규리|,0
꿈을 꾸었다고 말했다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224260,https://ssl.pstatic.net/imgmovie/mdi/mit110/2242/224260_P01_112136.jpeg,I said I had <b>a</b> dream,2022,지준혁|,,0
미래를 향해 노래 부르는 소,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213016,https://ssl.pstatic.net/imgmovie/mdi/mit110/2130/213016_P01_101814.jpeg,THE COW WHO SANG <b>A</b> SONG INTO THE FUTURE,2022,프란시스카 알레그리아|,,0
로봇 소녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=217549,https://ssl.pstatic.net/imgmovie/mdi/mit110/2175/217549_P01_095747.jpg,<b>A</b> Robot Girl,2022,홍인지 |,,0
아맨 어 맨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218463,https://ssl.pstatic.net/imgmovie/mdi/mit110/2184/218463_P01_101849.jpg,AMEN <b>A</b> MAN,2022,김경배|,,0
바다로 가는 종이배,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220998,https://ssl.pstatic.net/imgmovie/mdi/mit110/2209/220998_P01_140358.jpg,<b>A</b> Boat on the Sea,2022,아르만 골리푸르 다쉬타키|,,0
민수의 정석,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220381,https://ssl.pstatic.net/imgmovie/mdi/mit110/2203/220381_P01_204145.jpg,<b>A</b> Journey to the stars,2022,이다운|,,0
바다로 간 물고기,https://movie.naver.com/movie/bi/mi/basic.nhn?code=222743,https://ssl.pstatic.net/imgmovie/mdi/mit110/2227/222743_P01_182600.png,<b>A</b> girl with gills,2022,윤다영|,엄채영|,0
탕진,https://movie.naver.com/movie/bi/mi/basic.nhn?code=222863,https://ssl.pstatic.net/imgmovie/mdi/mit110/2228/222863_P01_151152.jpg,<b>A</b> Splurge Day,2022,김효정|,,0
행진대오의 죽은 원혼들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224207,https://ssl.pstatic.net/imgmovie/mdi/mit110/2242/224207_P01_105856.jpg,<b>A</b> dog and spirits in the rally,2022,안지환|,,0
잠자리 구하기,https://movie.naver.com/movie/bi/mi/basic.nhn?code=216268,https://ssl.pstatic.net/imgmovie/mdi/mit110/2162/216268_P01_102030.jpg,Saving <b>a</b> Dragonfly,2022,홍다예|,,0
한때는 바다가 있었지,https://movie.naver.com/movie/bi/mi/basic.nhn?code=212139,https://ssl.pstatic.net/imgmovie/mdi/mit110/2121/212139_P01_173848.jpg,ONCE THERE WAS <b>A</b> SEA...,2022,요한나 코주크|,,0
입 속의 꽃잎,https://movie.naver.com/movie/bi/mi/basic.nhn?code=214236,https://ssl.pstatic.net/imgmovie/mdi/mit110/2142/214236_P02_174406.jpg,<b>A</b> Flower in the Mouth,2022,에리크 보들레르|,,0
폭풍 회고록,https://movie.naver.com/movie/bi/mi/basic.nhn?code=214175,https://ssl.pstatic.net/imgmovie/mdi/mit110/2141/214175_P01_172053.jpg,Memoir of <b>a</b> Veering Storm,2022,소피아 게오르고바실리|,,0
하얗고 하얀 날 ,https://movie.naver.com/movie/bi/mi/basic.nhn?code=219038,https://ssl.pstatic.net/imgmovie/mdi/mit110/2190/219038_P01_093402.jpg,<b>A</b> White-white day,2022,바실리 치르코프|,,0
아 에 이 오 우 - 사랑의 빠른 철자법,https://movie.naver.com/movie/bi/mi/basic.nhn?code=214338,https://ssl.pstatic.net/imgmovie/mdi/mit110/2143/214338_P01_160232.jpg,<b>A</b> E I O U &amp;#8211; <b>A</b> Quick Alphabet of Love,2022,니콜레트 크레비츠|,,0
저녁의 어른들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224491,https://ssl.pstatic.net/imgmovie/mdi/mit110/2244/224491_P10_135722.jpg,You&apos;ve Got <b>a</b> Friend,2022,히로키 류이치|,무라카미 준|나하나|,0
투모로우 이즈 어 워터 필라스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=214535,https://ssl.pstatic.net/imgmovie/mdi/mit110/2145/214535_P01_095234.jpg,Tomorrow Is <b>a</b> Water Palace,2022,후아니타 온자가|,,0
새는 날아간다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=219318,https://ssl.pstatic.net/imgmovie/mdi/mit110/2193/219318_P01_220152.jpg,<b>A</b> Bird Flies Away,2022,김효경|,,0
꿈에서 들려온 목소리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=217550,https://ssl.pstatic.net/imgmovie/mdi/mit110/2175/217550_P01_095049.jpg,<b>A</b> Voice of the Dream,2022,박경은|,,0
서툰 연인들의 거친 연애담,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213316,https://ssl.pstatic.net/imgmovie/mdi/mit110/2133/213316_P01_142857.jpg,TWO MALADROITS IN LIFE: <b>A</b> LOVE STORY,2022,사토 아마네|,,0
오토라는 남자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225353,https://ssl.pstatic.net/imgmovie/mdi/mit110/2253/225353_P01_163123.jpg,<b>A</b> Man Called Otto,2022,마크 포스터|,톰 행크스|마리아나 트레비노|레이첼 켈러|마누엘 가르시아 룰포|콜린 행크스|,0
적인걸 : 명신야연도,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221674,https://ssl.pstatic.net/imgmovie/mdi/mit110/2216/221674_P01_125915.jpg,Di Renjie: Revive in <b>a</b> New Guise,2022,방영화|양자명|,하강|황일산|,0
미래에서 온 추적자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=222724,https://ssl.pstatic.net/imgmovie/mdi/mit110/2227/222724_P07_165215.jpg,<b>A</b> Pursuer from the Future,2022,김세성|,주영호|허진우|이승민|서상원|이기복|정경화|박혜선|김세연|최정호|정재훈|이재민|전아롱|김태양|신영철|,0
아슬란을 찾아서,https://movie.naver.com/movie/bi/mi/basic.nhn?code=214530,https://ssl.pstatic.net/imgmovie/mdi/mit110/2145/214530_P01_100658.jpg,<b>A</b> Human Position,2022,앤더스 엠블럼|,,0
양치기,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218470,https://ssl.pstatic.net/imgmovie/mdi/mit110/2184/218470_P01_094912.jpg,<b>A</b> Good Boy,2022,손경원|,손수현|,0
딜,https://movie.naver.com/movie/bi/mi/basic.nhn?code=223025,https://ssl.pstatic.net/imgmovie/mdi/mit110/2230/223025_P01_110044.png,<b>A</b> Deal,2022,유지혜|,,0
강을 건너는 사람들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224269,https://ssl.pstatic.net/imgmovie/mdi/mit110/2242/224269_P01_104942.jpeg,<b>a</b> windy day,2022,이남영|,,0
지나가는 구름,https://movie.naver.com/movie/bi/mi/basic.nhn?code=222830,https://ssl.pstatic.net/imgmovie/mdi/mit110/2228/222830_P01_121503.jpg,<b>A</b> Passing Cloud,2022,페이옌 탕|,,0
하나와 영오,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224182,https://ssl.pstatic.net/imgmovie/mdi/mit110/2241/224182_P01_145734.jpg,One and <b>a</b> Half,2022,박미선|,정수지|,0
사실 영화관엔 귀신이 산다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=219953,https://ssl.pstatic.net/imgmovie/mdi/mit110/2199/219953_P01_163228.jpg,"Actually, There Is <b>a</b> Ghost in the Movie Theater.",2022,김나라|,,0
그저 그런 날이 있었을 뿐,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221285,https://ssl.pstatic.net/imgmovie/mdi/mit110/2212/221285_P01_115829.jpg,"There was <b>a</b> nor, mal day",2022,송현석|,,0
작전,https://movie.naver.com/movie/bi/mi/basic.nhn?code=223691,https://ssl.pstatic.net/imgmovie/mdi/mit110/2236/223691_P00_153547.png,<b>a</b> covert operation,2022,김태윤|,차시윤|,0
퍼펙트 페어링,https://movie.naver.com/movie/bi/mi/basic.nhn?code=217745,https://ssl.pstatic.net/imgmovie/mdi/mit110/2177/217745_P01_174302.jpg,<b>A</b> Perfect Pairing,2022,스튜어트 맥도널드|,빅토리아 저스티스|,0
고양이는 왜 고양이일까?,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220070,https://ssl.pstatic.net/imgmovie/mdi/mit110/2200/220070_P01_113908.jpg,Inside the Mind of <b>a</b> Cat,2022,앤디 밋첼|,,0
조용한 일,https://movie.naver.com/movie/bi/mi/basic.nhn?code=223513,https://ssl.pstatic.net/imgmovie/mdi/mit110/2235/223513_P01_171135.jpg,<b>A</b> quiet thing,2022,조광식|,,0
스크루지: 크리스마스 캐럴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224892,https://ssl.pstatic.net/imgmovie/mdi/mit110/2248/224892_P01_145156.jpg,Scrooge: <b>A</b> Christmas Carol,2022,스티븐 도널리|,루크 에반스|올리비아 콜맨|제시 버클리|조나단 프라이스|자니 플린|,0
마음의 심장,https://movie.naver.com/movie/bi/mi/basic.nhn?code=212176,https://ssl.pstatic.net/imgmovie/mdi/mit110/2121/212176_P01_173111.jpg,HOME OF THE HEART,2022,사라 세이단|,,0
"파멜라, 러브 스토리",https://movie.naver.com/movie/bi/mi/basic.nhn?code=226494,https://ssl.pstatic.net/imgmovie/mdi/mit110/2264/226494_P01_141931.jpg,Pamela: <b>A</b> Love Story,2022,라이언 화이트|,파멜라 앤더슨|,0
재즈맨 블루스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221780,https://ssl.pstatic.net/imgmovie/mdi/mit110/2217/221780_P01_161650.jpg,<b>A</b> Jazzman&apos;s Blues,2022,타일러 페리|,아미라 밴|라이언 이골드|,0
